s.Control	s.Blood_D64	s.Faeces_D64	s.Pig_D64	s.Urine_D64	index	stat	p.value
X894	1	0	0	0	0	1	0.570905809988837	0.0908
X896	1	0	0	0	0	1	0.504147169435754	0.1779
X899	1	1	0	0	0	6	0.536415140705598	0.1574
X900	1	0	0	0	0	1	0.551986988455456	0.1352
X904	1	0	0	0	0	1	0.674818103363636	0.025
X908	1	0	0	0	0	1	0.550218923508975	0.1578
X918	1	0	0	0	0	1	0.690424874940429	0.0245
X920	1	0	0	0	0	1	0.697323816661786	0.0215
X921	0	1	0	0	1	12	0.863238124860725	0.0032
X924	0	0	0	0	1	5	0.785603415780525	0.002
X925	1	0	0	0	0	1	0.622281792414106	0.0558
X927	0	1	0	0	0	2	0.914090794442368	9e-04
X928	0	0	0	0	1	5	0.965834784740657	1e-04
X931	1	0	0	0	0	1	0.610697915782683	0.0647
X932	1	1	0	0	0	6	0.652791209833867	0.0338
X933	1	0	0	0	0	1	0.602414810351023	0.0828
X934	0	0	1	0	0	3	0.974933356442865	9e-04
X938	1	0	1	0	0	7	0.728098913186869	0.0124
X940	1	0	1	0	0	7	0.695929326932083	0.0214
X941	1	0	1	0	0	7	0.556521486566661	0.1277
X946	0	1	1	0	0	10	0.591839334162784	0.0786
X953	1	0	0	0	0	1	0.631748369649086	0.0645
X954	1	0	0	0	0	1	0.643737239539848	0.0458
X961	0	1	0	0	0	2	0.612020203179559	0.0668
X963	1	0	1	0	0	7	0.687026029453294	0.0269
X970	1	0	0	0	0	1	0.582525790065329	0.0984
X971	0	1	0	0	1	12	0.700102219216258	0.0302
X972	1	0	0	0	0	1	0.680439802117253	0.0331
X979	1	0	1	0	0	7	0.726565650004515	0.0124
X983	1	0	0	0	0	1	0.599189937836482	0.0767
X1004	1	1	0	0	0	6	0.638598211195319	0.0483
X1008	1	0	0	0	0	1	0.64244595078306	0.0377
X1009	0	1	0	0	0	2	0.715882015447663	0.0121
X1010	0	1	0	0	1	12	0.998534906207865	1e-04
X1011	0	1	0	0	0	2	0.812404987848049	0.0016
X1012	0	0	0	0	1	5	0.686210868005923	0.0069
X1015	0	1	0	0	0	2	0.938503899649428	9e-04
X1016	1	0	0	0	0	1	0.593961290560494	0.0787
X1017	1	0	0	0	0	1	0.732420591852509	0.0108
X1019	0	0	0	1	0	4	0.380930060367893	0.4209
X1020	0	1	0	0	1	12	0.884617418701695	0.0032
X1031	1	0	0	0	0	1	0.511972903287964	0.2005
X1046	1	0	0	0	0	1	0.645416297653072	0.0394
X1047	0	1	0	0	0	2	0.709546420421117	0.0158
X1056	0	1	0	0	0	2	0.869239868782174	0.0013
X1059	0	0	1	0	0	3	0.756250582492592	0.0131
X1062	1	0	0	0	0	1	0.553891391430405	0.1368
X1069	1	0	1	0	0	7	0.673932582672942	0.0255
X1071	1	0	0	0	0	1	0.705628327852631	0.0196
X1073	0	1	0	0	0	2	0.652649843020882	0.0446
X1078	1	0	0	0	0	1	0.622676351590407	0.0603
X1088	0	1	0	0	1	12	0.823958072340077	0.0033
X1099	1	0	0	0	0	1	0.654238958248284	0.0413
X1102	0	1	0	0	0	2	0.846686669852991	0.0019
X1105	0	0	0	1	0	4	0.915197796632267	2e-04
X1108	0	0	1	0	0	3	0.999016625177365	6e-04
X1114	0	1	0	0	0	2	0.952389876448516	9e-04
X1122	1	0	1	0	0	7	0.508644808612294	0.2202
X1141	0	0	1	0	0	3	0.662078518670012	0.0302
X1144	1	0	0	0	0	1	0.6397632782164	0.0457
X1145	1	0	1	0	0	7	0.499801823218533	0.2185
X1149	1	0	0	0	0	1	0.683973734294053	0.0152
X1159	1	0	1	0	0	7	0.554666465648921	0.1121
X1172	1	0	1	0	0	7	0.589714581991943	0.0694
X1174	0	0	0	1	1	15	0.63404563644781	0.0639
X1178	0	1	1	0	1	23	0.45000309920557	0.2686
X1180	1	0	1	0	0	7	0.506665485143593	0.2073
X1192	1	0	0	0	0	1	0.526712761581823	0.1552
X1209	0	1	0	0	1	12	0.788763144552049	0.005
X1212	0	0	0	0	1	5	0.823329775371986	8e-04
X1215	0	1	0	0	1	12	0.875900922864192	0.0015
X1223	1	0	1	0	0	7	0.531146510213223	0.1831
X1225	1	0	1	0	0	7	0.654057693984446	0.0394
X1228	1	0	0	0	0	1	0.662750822709006	0.0264
X1233	1	0	0	0	0	1	0.726601036428061	0.0097
X1236	0	1	0	1	1	24	0.688775849974146	0.0237
X1237	0	1	0	0	0	2	0.577475603017042	0.0886
X1266	0	1	0	0	0	2	0.776880710270504	0.0025
X1276	1	0	0	0	0	1	0.6399680023998	0.0437
X1277	1	0	0	0	0	1	0.722909518811479	0.0125
X1279	1	0	1	0	0	7	0.512731563164295	0.2127
X1282	1	0	0	0	0	1	0.697103070432267	0.0237
X1283	1	0	1	0	0	7	0.50377984535734	0.1996
X1298	0	1	0	0	1	12	0.665866954275162	0.0416
